iter	Passed	Remaining
0	162	81052
1	262	65348
2	365	60523
3	441	54753
4	516	51176
5	588	48485
6	663	46745
7	738	45426
8	902	49225
9	1003	49163
10	1080	48048
11	1161	47246
12	1235	46285
13	1314	45631
14	1391	45001
15	1463	44273
16	1533	43577
17	1604	42958
18	1675	42405
19	1747	41941
20	1814	41387
21	1881	40889
22	1950	40444
23	2019	40052
24	2098	39879
25	2175	39669
26	2251	39436
27	2330	39285
28	2403	39041
29	2487	38963
30	2557	38693
31	2636	38554
32	2711	38373
33	2795	38310
34	2868	38104
35	2944	37951
36	3024	37847
37	3099	37681
38	3183	37632
39	3263	37526
40	3338	37371
41	3412	37211
42	3490	37098
43	3581	37114
44	3668	37092
45	3746	36973
46	3816	36788
47	3891	36646
48	3964	36487
49	4033	36298
50	4107	36159
51	4194	36139
52	4267	35988
53	4333	35795
54	4404	35633
55	4484	35555
56	4552	35379
57	4634	35316
58	4702	35145
59	4781	35061
60	4858	34966
61	4928	34819
62	4999	34680
63	5085	34646
64	5158	34519
65	5226	34367
66	5296	34227
67	5380	34182
68	5457	34087
69	5527	33951
70	5610	33897
71	5689	33820
72	5755	33666
73	5832	33578
74	5910	33491
75	5992	33433
76	6059	33290
77	6142	33233
78	6231	33207
79	6320	33184
80	6395	33082
81	6461	32935
82	6539	32854
83	6607	32725
84	6709	32756
85	6791	32692
86	6873	32629
87	6967	32620
88	7062	32613
89	7141	32534
90	7208	32396
91	7295	32353
92	7380	32297
93	7474	32283
94	7607	32433
95	7715	32471
96	7819	32486
97	7933	32542
98	8041	32572
99	8137	32550
100	8205	32417
101	8283	32321
102	8363	32237
103	8457	32203
104	8529	32085
105	8604	31982
106	8675	31866
107	8749	31756
108	8826	31663
109	8886	31506
110	8954	31380
111	9022	31257
112	9112	31207
113	9190	31118
114	9284	31083
115	9371	31021
116	9453	30946
117	9534	30864
118	9626	30819
119	9703	30726
120	9767	30593
121	9845	30506
122	9940	30469
123	10020	30385
124	10113	30340
125	10176	30206
126	10255	30121
127	10352	30088
128	10421	29972
129	10521	29946
130	10598	29853
131	10672	29753
132	10746	29655
133	10834	29592
134	10909	29494
135	10982	29393
136	11076	29349
137	11151	29251
138	11234	29178
139	11329	29133
140	11427	29096
141	11551	29123
142	11621	29014
143	11700	28927
144	11811	28918
145	11894	28840
146	11961	28724
147	12033	28620
148	12103	28512
149	12209	28489
150	12334	28508
151	12416	28428
152	12554	28472
153	12640	28400
154	12712	28295
155	12808	28243
156	12898	28178
157	13019	28182
158	13095	28085
159	13192	28034
160	13296	27998
161	13420	28000
162	13541	27997
163	13616	27896
164	13680	27775
165	13772	27711
166	13845	27607
167	13908	27485
168	13996	27413
169	14082	27336
170	14198	27316
171	14277	27226
172	14357	27137
173	14439	27053
174	14510	26947
175	14578	26838
176	14653	26741
177	14716	26622
178	14796	26534
179	14879	26452
180	14947	26343
181	15024	26250
182	15127	26204
183	15206	26114
184	15281	26020
185	15353	25919
186	15427	25822
187	15535	25782
188	15632	25723
189	15694	25607
190	15787	25540
191	15856	25436
192	15923	25328
193	15995	25230
194	16095	25175
195	16169	25079
196	16283	25044
197	16362	24957
198	16484	24933
199	16558	24838
200	16637	24749
201	16727	24677
202	16802	24583
203	16899	24521
204	16968	24417
205	17039	24318
206	17120	24232
207	17210	24161
208	17286	24068
209	17402	24031
210	17526	24005
211	17611	23924
212	17679	23821
213	17774	23755
214	17856	23669
215	17946	23596
216	18011	23489
217	18088	23399
218	18166	23309
219	18243	23219
220	18306	23110
221	18389	23028
222	18474	22948
223	18542	22847
224	18637	22779
225	18708	22682
226	18773	22577
227	18846	22483
228	18926	22398
229	18999	22304
230	19083	22223
231	19149	22121
232	19240	22048
233	19305	21945
234	19398	21874
